                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,0.32493,0.42056,0.91489,1,0.0009802
1,0.25392,0.74493,0.71089,1,0.0009604
2,0.22061,0.39521,0.89487,1,0.0009406
3,0.22199,0.5386,0.83605,1,0.0009208
4,0.23031,0.42972,0.86608,1,0.000901
5,0.23987,0.37698,0.90613,1,0.0008812
6,0.25968,0.85834,0.7184,1,0.0008614
7,0.22378,0.45985,0.8423,1,0.0008416
8,0.226,0.34849,0.89987,1,0.0008218
9,0.22708,0.45667,0.82728,1,0.000802
10,0.23059,0.64027,0.72591,1,0.0007822
11,0.20739,0.41904,0.85857,1,0.0007624
12,0.204,0.35576,0.90238,1,0.0007426
13,0.20346,0.35772,0.90864,1,0.0007228
14,0.20361,0.4177,0.86108,1,0.000703
15,0.20982,0.33944,0.91114,1,0.0006832
16,0.22033,0.41018,0.87484,1,0.0006634
17,0.20525,0.37758,0.8836,1,0.0006436
18,0.20609,0.37787,0.88486,1,0.0006238
19,0.20476,0.38853,0.88861,1,0.000604
20,0.20804,0.39018,0.8836,1,0.0005842
21,0.21658,0.40195,0.88736,1,0.0005644
22,0.21432,0.43915,0.83855,1,0.0005446
23,0.20563,0.49613,0.81852,1,0.0005248
24,0.20146,0.35302,0.90864,1,0.000505
25,0.20566,0.33695,0.91489,1,0.0004852
26,0.22537,0.44647,0.85732,1,0.0004654
27,0.20962,0.39007,0.88611,1,0.0004456
28,0.20613,0.52054,0.80476,1,0.0004258
29,0.20875,0.33042,0.92365,1,0.000406
30,0.20116,0.36984,0.89862,1,0.0003862
31,0.20992,0.37582,0.88611,1,0.0003664
32,0.23921,0.46246,0.81852,1,0.0003466
33,0.2092,0.39418,0.88986,1,0.0003268
34,0.23153,0.44734,0.84731,1,0.000307
35,0.23788,0.40239,0.86859,1,0.0002872
36,0.2239,0.51151,0.81101,1,0.0002674
37,0.20917,0.39976,0.85982,1,0.0002476
38,0.21227,0.34697,0.90488,1,0.0002278
39,0.20447,0.42766,0.85607,1,0.000208
40,0.20234,0.40326,0.87234,1,0.0001882
41,0.20273,0.37216,0.8811,1,0.0001684
42,0.20228,0.37344,0.88486,1,0.0001486
43,0.22031,0.37305,0.8786,1,0.0001288
44,0.22247,0.39921,0.89362,1,0.000109
45,0.20929,0.40163,0.88736,1,8.92E-05
46,0.20312,0.38265,0.89237,1,6.94E-05
47,0.20484,0.37997,0.8811,1,4.96E-05
48,0.20577,0.38899,0.87484,1,2.98E-05
49,0.20126,0.38364,0.88611,1,1.00E-05
